ID,Name
10,"Klose, Miroslav"
132,"Rosicky, Tomas"
3140,Ronaldo
3183,"Vieira, Patrick"
3185,"Pires, Robert"
3202,"Toure, Kolo"
3220,"Riise, John Arne"
3333,"Milner, James"
3372,Rivaldo
3406,"Giggs, Ryan"
3407,"van Nistelrooy, Ruud"
3408,"Forlan, Diego"
3428,"Stankovic, Dejan"
3455,"Ibrahimovic, Zlatan"
3522,"Shevchenko, Andriy"
3603,"Nedved, Pavel"
3700,"Kanoute, Frederic"
3876,"Cole, Joe"
3924,"Drogba, Didier"
3994,"Makaay, Roy"
4010,"Kuyt, Dirk"
4168,"Seedorf, Clarence"
4248,Diego
4357,"Huntelaar, Klaas-Jan"
5023,"Buffon, Gianluigi"
5285,"Evra, Patrice"
5357,"Govou, Sidney"
5422,"Mexes, Philippe"
5748,"Tacchinardi, Alessio"
5758,"Davids, Edgar"
5762,"Camoranesi, Mauro"
5800,Dida
5813,"Gattuso, Gennaro"
5817,"Pirlo, Andrea"
5876,Adriano
5958,"Totti, Francesco"
6288,"Gomez, Mario"
7349,Raul
7449,"Clichy, Gael"
7476,"Alonso, Xabi"
7520,"Cambiasso, Esteban"
7602,"Motta, Thiago"
7663,Joaquin
7767,"Torres, Fernando"
7825,"Reina, Pepe"
8806,"Fabregas, Cesc"
12249,"Banega, Ever"
14942,"Srna, Darijo"
15185,"Podolski, Lukas"
15378,"Arshavin, Andrey"
15951,Dani Alves
15956,"Navas, Jesus"
16306,Casemiro
16911,"Schmeichel, Kasper"
17259,"Neuer, Manuel"
17965,"Lloris, Hugo"
18922,"Benzema, Karim"
19981,"Mascherano, Javier"
20506,"Guardado, Andres"
22328,"Quagliarella, Fabio"
22412,Julio Cesar
23914,"Diarra, Lassana"
26399,"Aguero, Sergio"
27577,"Dempsey, Clint"
28003,"Messi, Lionel"
28396,"Dzeko, Edin"
29241,"Silva, Thiago"
29401,"Khedira, Sami"
32467,"Rakitic, Ivan"
33706,Nani
35047,"Witsel, Axel"
35664,"Ozil, Mesut"
36827,"Ivanovic, Branislav"
37666,"Vidal, Arturo"
38253,"Lewandowski, Robert"
39152,"Falcao, Radamel"
39153,"Higuain, Gonzalo"
39381,"Bale, Gareth"
40433,"Sanchez, Alexis"
41384,"Arnautovic, Marko"
42460,"Perisic, Ivan"
44058,"Szczesny, Wojciech"
44352,"Suarez, Luis"
45146,"Balotelli, Mario"
45320,"Di Maria, Angel"
49499,"Wijnaldum, Georginio"
50570,"Lavezzi, Ezequiel"
50935,Chicharito
56416,"Mertens, Dries"
57071,"Gulacsi, Peter"
58864,"Aubameyang, Pierre-Emerick"
59016,"Alaba, David"
60410,"Acuna, Marcos"
61651,"Henderson, Jordan"
72522,"de Jong, Luuk"
85288,Isco
93720,"Lacazette, Alexandre"
96341,"Lukaku, Romelu"
100986,"Meunier, Thomas"
108880,"Casteels, Koen"
121483,"Oblak, Jan"
122153,"Pogba, Paul"
126664,"Digne, Lucas"
128220,Luis Alberto
129083,"Zamorano, Ivan"
132098,"Kane, Harry"
133964,"Insigne, Lorenzo"
139208,"van Dijk, Virgil"
140776,"Carrasco, Yannick"
148455,Mohamed Salah
164770,"Varane, Raphael"
166237,"Paredes, Leandro"
167799,"Hojbjerg, Pierre-Emile"
170527,"Werner, Timo"
177476,"Ake, Nathan"
181375,"Haller, Sebastien"
181579,"Ward-Prowse, James"
182877,"Martial, Anthony"
182893,"Fofana, Seko"
183288,"Shaw, Luke"
187492,"Brandt, Julian"
191891,"Milik, Arkadiusz"
192735,"Lobotka, Stanislav"
197300,"Bernardeschi, Federico"
197838,"Vardy, Jamie"
198008,"Silva, Andre"
206040,"Jimenez, Raul"
206050,"Dybala, Paulo"
223967,"Laimer, Konrad"
225161,"Neves, Ruben"
242086,"Schick, Patrik"
255942,"Barella, Nicolo"
257455,"Palhinha, Joao"
277179,Angelino
281963,"Hernandez, Lucas"
283628,"Soucek, Tomas"
283735,"Zaccagni, Mattia"
288230,"Dembele, Ousmane"
294057,"Maddison, James"
314875,"Bowen, Jarrod"
315853,"Bastoni, Alessandro"
321528,"Dumfries, Denzel"
326029,"Malen, Donyell"
333241,Joelinton
340456,"Mazraoui, Noussair"
341092,"Chiesa, Federico"
342229,"Mbappe, Kylian"
349066,"Isak, Alexander"
350219,"Ruiz, Fabian"
351478,"Oyarzabal, Mikel"
351816,"Bennacer, Ismael"
354362,"Bentancur, Rodrigo"
361914,"Aguerd, Nayef"
363205,"Jesus, Gabriel"
375885,"Sangare, Ibrahim"
378710,Richarlison
387626,"Bailey, Leon"
392085,"Zaniolo, Nicolo"
392757,"Guehi, Marc"
395516,"Diaby, Moussa"
398184,"Torres, Ferran"
399776,"Torres, Pau"
406040,"Lookman, Ademola"
412363,Rodrygo
418659,"Gouiri, Amine"
420243,"Timber, Jurrien"
423440,"Zubimendi, Martin"
424042,"Molina, Nahuel"
424204,"Davies, Alphonso"
431755,"Kulusevski, Dejan"
435772,"De Ketelaere, Charles"
442531,"Mendy, Edouard"
451276,"Szoboszlai, Dominik"
472423,"James, Reece"
480267,"Araujo, Ronald"
480762,"Martinez, Lisandro"
487465,"Neto, Pedro"
502670,"Kvaratskhelia, Khvicha"
503733,"Gordon, Anthony"
504849,"Mitoma, Kaoru"
513245,"Lindstrom, Jesper"
516716,Bremer
533738,"David, Jonathan"
537860,"Mudryk, Mykhaylo"
543382,"Camara, Mohamed"
546543,"Nunez, Darwin"
552057,"Hlozek, Adam"
557459,"van de Ven, Micky"
614258,"Colwill, Levi"
627442,"Sesko, Benjamin"
650568,"Silva, Antonio"
683840,Pedri
709187,"Williams, Nico"
